Nome,URL,Stars,Framework,Descricao
viniciusme/api-rest-crud-nodejs-mongodb,https://github.com/viniciusme/api-rest-crud-nodejs-mongodb.git,2,Backend Detectado (express),"Este projeto é uma API desenvolvida com foco no estudo acadêmico.  API com Nodejs + Express + Typescript + Mongoose + MongoDb + MongoDb Atlas"
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,1,Backend Detectado (express),"Sistema de gerenciamento de grupos acadêmicos."
costarodrigo22/backendProjectBeds,https://github.com/costarodrigo22/backendProjectBeds.git,1,Backend Detectado (express),"Projeto acadêmico de gerenciamento de leitos hospitalares."
lucascost/referencias,https://github.com/lucascost/referencias.git,1,Backend Detectado (express),"Aplicação para tornar a formatação de referências para trabalhos acadêmicos mais fácil e rápida. "
Hyagobsantos/Api-LojaStarWars,https://github.com/Hyagobsantos/Api-LojaStarWars.git,1,Backend Detectado (express),"APi realizada para aprendizado academico"
NessKawl/API_driveparts,https://github.com/NessKawl/API_driveparts.git,1,Backend Detectado (express),"Repositório da nossa API do PI desenvolvido na faculdade"
GabrielMartinsDoliveira/Residencia_PD_25.2_backend,https://github.com/GabrielMartinsDoliveira/Residencia_PD_25.2_backend.git,1,Backend Detectado (express),"Repositório referente a residêncido do Porto Digital em 2025.2 junto a Faculdade Senac  o mesmo se refere a um back end  de um projeto crowndfunding"
GuilhermeFranciscoPereira/Eventos_Fatec_Itu-Back-End,https://github.com/GuilhermeFranciscoPereira/Eventos_Fatec_Itu-Back-End.git,2,Backend Detectado (express),"🌟 Projeto Real! 🌟- NestJS | Typescript | Prisma | MySQL | Docker - Sistema desenvolvido para que os eventos da Faculdade Fatec Itu - Dom Amaury Castanho pudessem ter um método de inscrição mais práticos  gerando facilidade tanto para os alunos  pessoas de fora e para os responsáveis pelos eventos."
matteusmanoel/granaguru-frontend,https://github.com/matteusmanoel/granaguru-frontend.git,1,Backend Detectado (express),"Front-end - Projeto da faculdade - plataforma de gerenciamento de finanças pessoais / receitas / despesas / metas / orçamentos"
MarqueaneSouza/controle-estoque,https://github.com/MarqueaneSouza/controle-estoque.git,1,Backend Detectado (express),"Como parte do Projeto Integrador da Gran Faculdade este projeto consiste no desenvolvimento de um sistema de controle de estoque."
PieperChristian/Bercario-CRUD,https://github.com/PieperChristian/Bercario-CRUD.git,1,Backend Detectado (express),"CRUD em Node.js (Express + Prisma) integrado ao MySQL para gerenciamento de registros de um berçário — incluindo nascidos  mães e médicos. Projeto desenvolvido como atividade acadêmica em disciplina da faculdade."
qeitiof/securecel,https://github.com/qeitiof/securecel.git,1,Backend Detectado (express),"Trabalho final da matéria de banco de dados II da faculdade de Engenharia da Computação"
