Repo,URL,File,Line,Type,Description
"ViictorM0ura/API-de-Dados-SQLite","https://github.com/ViictorM0ura/API-de-Dados-SQLite.git","index.js",9,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"EricoBorgonove/esbam-of-webII-3p-N-2024.1--node","https://github.com/EricoBorgonove/esbam-of-webII-3p-N-2024.1--node.git","seeders/20240530003346-adm.js",11,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"marlonzl7/conecta-futsal","https://github.com/marlonzl7/conecta-futsal.git","app.js",33,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"MarcosAlves90/aula_2_seg-19-02-26","https://github.com/MarcosAlves90/aula_2_seg-19-02-26.git","app_inseguro.js",11,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"CaiaoCesar/Web2-Backend-Projeto-Final-Venda-Perfumes","https://github.com/CaiaoCesar/Web2-Backend-Projeto-Final-Venda-Perfumes.git","src/app.js",23,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Druitti/Plano-de-Gerenciamento-de-Configura-o","https://github.com/Druitti/Plano-de-Gerenciamento-de-Configura-o.git","src/controllers/AuthController.js",9,"HARDCODED_SECRET","Potential hardcoded secret in property: token"
"paulo-campos-57/backend-pong","https://github.com/paulo-campos-57/backend-pong.git","server.js",12,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"hsmazur/hugoMazur-Taberna-4Bimestre","https://github.com/hsmazur/hugoMazur-Taberna-4Bimestre.git","backend/database.js",9,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"lucasfoschini/PROJETO-DESENVOLVIMENTO-WEB-NODE-EXPRESS-REST","https://github.com/lucasfoschini/PROJETO-DESENVOLVIMENTO-WEB-NODE-EXPRESS-REST.git","src/index.js",15,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"romanticbat/To-Do-List","https://github.com/romanticbat/To-Do-List.git","backend/server.js",9,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"hsmazur/hugoMazur-Taberna-3Bimestre","https://github.com/hsmazur/hugoMazur-Taberna-3Bimestre.git","backend/database.js",9,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"sdsdsdsdsdsihdkjsdjl/cursoride2api","https://github.com/sdsdsdsdsdsihdkjsdjl/cursoride2api.git","server.js",79,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"techbrasilia/fastfeet","https://github.com/techbrasilia/fastfeet.git","src/config/database.js",5,"HARDCODED_SECRET","Potential hardcoded secret in property: password"
"techbrasilia/fastfeet","https://github.com/techbrasilia/fastfeet.git","src/config/auth.js",2,"HARDCODED_SECRET","Potential hardcoded secret in property: secret"
"prasanna7codes/Grow-Cursor-Backend","https://github.com/prasanna7codes/Grow-Cursor-Backend.git","src/index.js",82,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Projeto-Jardim-Padaria/Portifolio_Jardim_Padaria_Artesanal","https://github.com/Projeto-Jardim-Padaria/Portifolio_Jardim_Padaria_Artesanal.git","server.js",11,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"siddheshsurve/env-tracker-cursor","https://github.com/siddheshsurve/env-tracker-cursor.git","server.js",15,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"LeonelRC23/Proyecto_curso_backend","https://github.com/LeonelRC23/Proyecto_curso_backend.git","src/app.js",8,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Maria-Massucato/sistemaDeTarefas","https://github.com/Maria-Massucato/sistemaDeTarefas.git","server.js",12,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
"Dieguin77/sistema-lista-tarefas","https://github.com/Dieguin77/sistema-lista-tarefas.git","server.js",12,"INSECURE_CORS","Permissive CORS policy (Wildcard detected)"
