Repo,URL,File,Line,Type,Description
JhonyDomingos/backend-just-connect,https://github.com/JhonyDomingos/backend-just-connect.git,generated/prisma/internal/prismaNamespaceBrowser.ts,97,HARDCODED_SECRET,Potential hardcoded secret in property: reset_token_expiry
JhonyDomingos/backend-just-connect,https://github.com/JhonyDomingos/backend-just-connect.git,generated/prisma/internal/prismaNamespace.ts,1200,HARDCODED_SECRET,Potential hardcoded secret in property: password
JhonyDomingos/backend-just-connect,https://github.com/JhonyDomingos/backend-just-connect.git,generated/prisma/internal/prismaNamespace.ts,1209,HARDCODED_SECRET,Potential hardcoded secret in property: reset_token
JhonyDomingos/backend-just-connect,https://github.com/JhonyDomingos/backend-just-connect.git,generated/prisma/internal/prismaNamespace.ts,1210,HARDCODED_SECRET,Potential hardcoded secret in property: reset_token_expiry
CyberNicky/customers-api,https://github.com/CyberNicky/customers-api.git,src/main.ts,6,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
tpiva/ts-api-me,https://github.com/tpiva/ts-api-me.git,server/config/env/production.env.ts,6,HARDCODED_SECRET,Potential hardcoded secret in property: password
tpiva/ts-api-me,https://github.com/tpiva/ts-api-me.git,server/config/env/production.env.ts,11,HARDCODED_SECRET,Potential hardcoded secret in property: secret
tpiva/ts-api-me,https://github.com/tpiva/ts-api-me.git,server/config/env/development.env.ts,6,HARDCODED_SECRET,Potential hardcoded secret in property: password
tpiva/ts-api-me,https://github.com/tpiva/ts-api-me.git,server/config/env/development.env.ts,11,HARDCODED_SECRET,Potential hardcoded secret in property: secret
The-Tito/readflow-backend,https://github.com/The-Tito/readflow-backend.git,src/app.ts,18,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
LeoLink-Uniasselvi/leolink-backend,https://github.com/LeoLink-Uniasselvi/leolink-backend.git,src/main.ts,46,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
LeoLink-Uniasselvi/leolink-backend,https://github.com/LeoLink-Uniasselvi/leolink-backend.git,src/app.module.ts,39,DB_AUTO_SYNC,Database synchronization enabled (Risk of data loss)
LeoLink-Uniasselvi/leolink-backend,https://github.com/LeoLink-Uniasselvi/leolink-backend.git,src/modules/auth/use-cases/register/register.use-case.ts,61,HARDCODED_SECRET,Potential hardcoded secret in property: tokenType
LeoLink-Uniasselvi/leolink-backend,https://github.com/LeoLink-Uniasselvi/leolink-backend.git,src/modules/auth/use-cases/login/login.use-case.ts,63,HARDCODED_SECRET,Potential hardcoded secret in property: tokenType
LeoLink-Uniasselvi/leolink-backend,https://github.com/LeoLink-Uniasselvi/leolink-backend.git,src/modules/auth/dtos/register/register.response.dto.ts,32,HARDCODED_SECRET,Potential hardcoded secret in property: token
LeoLink-Uniasselvi/leolink-backend,https://github.com/LeoLink-Uniasselvi/leolink-backend.git,src/modules/auth/dtos/register/register.response.dto.ts,33,HARDCODED_SECRET,Potential hardcoded secret in property: tokenType
LeoLink-Uniasselvi/leolink-backend,https://github.com/LeoLink-Uniasselvi/leolink-backend.git,src/modules/auth/dtos/login/login.response.dto.ts,40,HARDCODED_SECRET,Potential hardcoded secret in property: token
