Nome,URL,Stars,Framework,Descricao
PedroRomaoDev/fintrack-api,https://github.com/PedroRomaoDev/fintrack-api.git,3,Backend Detectado (express),"Fintrack API é a interface de comunicação backend do sistema de controle de finanças Fintrack  desenvolvida para um trabalho acadêmico das disciplinas de Teste de Software  Engenharia de Software e Programação Web. Esta API é responsável por gerenciar os dados dos usuários  transações financeiras  autenticação e regras de negócio do sistema."
juanma0822/PRAE-BACKEND,https://github.com/juanma0822/PRAE-BACKEND.git,1,Backend Detectado (express),"Backend de la aplicación web PRAE (Plataforma de Registro Académico Estudiantil)."
thyagodnz/simplifique-bank,https://github.com/thyagodnz/simplifique-bank.git,1,Backend Detectado (express),"Simulação de uma fila bancária para fins acadêmicos"
ismaelalvesgit/node_api_ecommerce,https://github.com/ismaelalvesgit/node_api_ecommerce.git,1,Backend Detectado (express),"api criada por ISMAEL ALVES XIMENES BEZERRA para fins academicos"
ATalDaAiume/Gerenciador-de-Projetos-com-API-REST,https://github.com/ATalDaAiume/Gerenciador-de-Projetos-com-API-REST.git,2,Backend Detectado (express),"🚀 Primeira API REST que desenvolvi com Node.js usando arquitetura MVC. Projeto acadêmico simples  mas essencial pra entender organização de código e rotas."
victormattos/projeto-restaurante-backend,https://github.com/victormattos/projeto-restaurante-backend.git,1,Backend Detectado (express),"Backend em Node.js para um sistema de restaurante.  Projeto desenvolvido como parte de um trabalho acadêmico."
AlexxoK/gestorEscolar,https://github.com/AlexxoK/gestorEscolar.git,1,Backend Detectado (express),"Gestor académico para una escuela."
llauu/server-sabor-academico,https://github.com/llauu/server-sabor-academico.git,1,Backend Detectado (express),""
macielagustin/viandas,https://github.com/macielagustin/viandas.git,1,Backend Detectado (express),"Este es un proyecto académico en el cual el usuario puede gestionar tanto los clientes  como los pedidos que llegan a un local de viandas saludables"
lucashlourenco/iforum-api,https://github.com/lucashlourenco/iforum-api.git,1,Backend Detectado (express),"Fórum Acadêmico destinado aos alunos do IFPE Campus Jaboatão dos Guararapes."
GustavoTF25/IndieShowcase-api,https://github.com/GustavoTF25/IndieShowcase-api.git,1,Backend Detectado (express),"Projeto Acadêmico da Plataforma de Conteúdo Independente "IndieShowcase""
igorcarmona-git/api-igor,https://github.com/igorcarmona-git/api-igor.git,1,Backend Detectado (express),"Trabalho academico  uma API Rest construída com express  sequelize-cli  postgree  cors  dotenv  jsonwebtoken  bcrypt e multer (upload de arquivos)"
ReverseYuji049/trabalho2-api,https://github.com/ReverseYuji049/trabalho2-api.git,1,Backend Detectado (express),"Repositório do trabalho 2 da matéria de API do 1º bimestre no 2º  ano da faculdade de Engenharia de Software."
ReverseYuji049/trabalho1-api,https://github.com/ReverseYuji049/trabalho1-api.git,1,Backend Detectado (express),"Repositório do trabalho 1 da matéria de API no 1º bimestre no 2º ano da faculdade de Engenharia de Software."
Gnune2/semDP,https://github.com/Gnune2/semDP.git,1,Backend Detectado (express),"tira as médias da minha faculdade"
ReverseYuji049/aprendendo-api,https://github.com/ReverseYuji049/aprendendo-api.git,1,Backend Detectado (express),"Repositório da aula de API no 1º  bimestre do 2º  ano da faculdade de Engenharia de Software."
AnaLauraMS/Microsservico_NotaGest_4.0,https://github.com/AnaLauraMS/Microsservico_NotaGest_4.0.git,1,Backend Detectado (express),"Projeto Integrador - Faculdade de Tecnologia - Curso de Desenvolvimento Multiplataformas "
JamGaldino/projetoBPMLB,https://github.com/JamGaldino/projetoBPMLB.git,1,Backend Detectado (express),"O website de Controle de Acervo Literário da Biblioteca Pública tem como objetivo facilitar a gestão  organização e consulta do acervo de livros de uma biblioteca pública  tornando os processos mais eficientes tanto para os bibliotecários quanto para os usuários. Parte 2 do projeto do 3° período da faculdade"
LucaCordella/serenita,https://github.com/LucaCordella/serenita.git,1,Backend Detectado (express),"Projeto de Faculdade - Serenità (aplicativo de gerenciamento e monitoramento da saúde mental)."
LucasGit-lc/Projeto-faculdade-1-Panico-e-Terror,https://github.com/LucasGit-lc/Projeto-faculdade-1-Panico-e-Terror.git,1,Backend Detectado (express),""
